LIBRARY	library
SHARE_CONTENT	Partilhar ligação
SHARE_BY_MAIL	Enviar e-mail
URL_OF_CURRENT_PAGE	URL
PLAYING	
LIBFLAG_SLIDES	Search book page content
SEND_CONTENT	Enviar link de conteúdo
ERROR_2.h	Ao @{LESSONPLAYER} não foi possível carregar um arquivo de configuração necessário para a funcionalidade adequada.
ctx_html.introtext_noresult	Nenhum conteúdo disponível para o contexto atual. Abrir a @{LIBRARY} a partir do cabeçalho ou utilizar a pesquisa para obter mais conteúdo.
ctx_html.library	Abrir @{LIBRARY}
	
